PGN(
  (net): Sequential(
    (0): Linear(in_features=8, out_features=128, bias=True)
    (1): ReLU()
    (2): Linear(in_features=128, out_features=128, bias=True)
    (3): ReLU()
    (4): Linear(in_features=128, out_features=4, bias=True)
  )
)
67167: reward: -60.08, mean_100: -56.88, episodes: 246
67300: reward: -20.57, mean_100: -55.26, episodes: 247
67682: reward: 243.04, mean_100: -51.38, episodes: 248
67815: reward: -41.73, mean_100: -50.60, episodes: 249
68415: reward: -118.92, mean_100: -50.53, episodes: 250
68601: reward: -22.45, mean_100: -49.42, episodes: 251
69059: reward: -139.04, mean_100: -49.80, episodes: 252
70060: reward: -47.23, mean_100: -49.21, episodes: 253
71061: reward:  -9.11, mean_100: -48.09, episodes: 254
71709: reward: 210.92, mean_100: -44.58, episodes: 255
72131: reward: 160.42, mean_100: -41.97, episodes: 256
72710: reward: 147.68, mean_100: -39.73, episodes: 257
73381: reward: 119.31, mean_100: -38.12, episodes: 258
73800: reward: 229.51, mean_100: -34.92, episodes: 259
74117: reward: 195.41, mean_100: -31.99, episodes: 260
74421: reward: 194.65, mean_100: -29.06, episodes: 261
74660: reward: -60.54, mean_100: -29.23, episodes: 262
74843: reward: -98.52, mean_100: -29.12, episodes: 263
75088: reward: -181.62, mean_100: -30.85, episodes: 264
75238: reward: -105.78, mean_100: -31.50, episodes: 265
75598: reward: -103.07, mean_100: -32.69, episodes: 266
75804: reward: -129.64, mean_100: -33.19, episodes: 267
76100: reward: -127.94, mean_100: -34.52, episodes: 268
76644: reward: 144.47, mean_100: -32.08, episodes: 269
77645: reward:  55.63, mean_100: -30.85, episodes: 270
78283: reward: 151.52, mean_100: -28.03, episodes: 271
78594: reward: -85.33, mean_100: -25.79, episodes: 272
78973: reward: -174.93, mean_100: -26.20, episodes: 273
79231: reward: -138.01, mean_100: -26.61, episodes: 274
80232: reward: -65.07, mean_100: -26.55, episodes: 275
81233: reward: -72.26, mean_100: -26.25, episodes: 276
82234: reward: -57.95, mean_100: -24.88, episodes: 277
83235: reward: -88.33, mean_100: -23.85, episodes: 278
83473: reward: -79.79, mean_100: -24.72, episodes: 279
84010: reward:  -5.48, mean_100: -24.84, episodes: 280
84211: reward: -48.63, mean_100: -24.86, episodes: 281
84953: reward: 191.09, mean_100: -22.53, episodes: 282
85954: reward:  -7.52, mean_100: -22.46, episodes: 283
