5819155: reward:  48.57, mean_100:  87.95, episodes: 9970
5820156: reward:  43.43, mean_100:  87.68, episodes: 9971
5820735: reward: 154.96, mean_100:  87.43, episodes: 9972
5821736: reward:  41.21, mean_100:  86.57, episodes: 9973
5822737: reward:  22.44, mean_100:  85.62, episodes: 9974
5823150: reward: 190.68, mean_100:  86.39, episodes: 9975
5824151: reward:  28.14, mean_100:  86.38, episodes: 9976
5824715: reward: 159.09, mean_100:  86.04, episodes: 9977
5825716: reward:  30.92, mean_100:  84.33, episodes: 9978
5826296: reward: 155.03, mean_100:  84.99, episodes: 9979
5827180: reward: 158.54, mean_100:  85.23, episodes: 9980
5827821: reward: 175.82, mean_100:  86.09, episodes: 9981
5828822: reward:  72.53, mean_100:  85.24, episodes: 9982
5829422: reward: 173.31, mean_100:  85.11, episodes: 9983
5830423: reward:  62.15, mean_100:  84.30, episodes: 9984
5831424: reward:  55.77, mean_100:  84.31, episodes: 9985
5831958: reward: 135.01, mean_100:  85.16, episodes: 9986
5832959: reward:  79.54, mean_100:  85.48, episodes: 9987
5833960: reward:  29.06, mean_100:  84.81, episodes: 9988
5834961: reward:  22.95, mean_100:  84.50, episodes: 9989
5835962: reward:  27.85, mean_100:  83.09, episodes: 9990
5836963: reward:  77.20, mean_100:  82.26, episodes: 9991
5837964: reward:  59.73, mean_100:  83.27, episodes: 9992
5838965: reward:  30.71, mean_100:  82.01, episodes: 9993
5839966: reward:  65.54, mean_100:  81.07, episodes: 9994
5840967: reward:  67.49, mean_100:  81.22, episodes: 9995
5841968: reward:  30.98, mean_100:  80.16, episodes: 9996
5842969: reward:  27.63, mean_100:  78.94, episodes: 9997
5843970: reward:  16.34, mean_100:  78.28, episodes: 9998
5844515: reward: 158.42, mean_100:  78.88, episodes: 9999
5845153: reward: 124.17, mean_100:  78.20, episodes: 10000
5846154: reward:  47.81, mean_100:  78.01, episodes: 10001
5847155: reward:  52.33, mean_100:  77.55, episodes: 10002
5848156: reward:  25.76, mean_100:  77.28, episodes: 10003
5849157: reward:  82.77, mean_100:  76.79, episodes: 10004
5850158: reward:  53.14, mean_100:  75.97, episodes: 10005
5851159: reward:  57.85, mean_100:  74.73, episodes: 10006
5852160: reward:  83.47, mean_100:  75.08, episodes: 10007
5853161: reward:  74.58, mean_100:  75.14, episodes: 10008
