PGN(
  (net): Sequential(
    (0): Linear(in_features=8, out_features=128, bias=True)
    (1): ReLU()
    (2): Linear(in_features=128, out_features=4, bias=True)
  )
)
26510: reward: -32.25, mean_100: -171.79, episodes: 207
26630: reward:   7.68, mean_100: -168.62, episodes: 208
26750: reward: -307.50, mean_100: -170.10, episodes: 209
26963: reward: -46.95, mean_100: -169.94, episodes: 210
27113: reward: -245.07, mean_100: -172.43, episodes: 211
27317: reward: -220.37, mean_100: -172.64, episodes: 212
27501: reward: -264.16, mean_100: -175.28, episodes: 213
27638: reward: -217.48, mean_100: -172.33, episodes: 214
27747: reward: -25.54, mean_100: -170.29, episodes: 215
27855: reward: -50.17, mean_100: -169.00, episodes: 216
27997: reward:  16.81, mean_100: -166.62, episodes: 217
28134: reward: -80.62, mean_100: -164.61, episodes: 218
28263: reward: -102.33, mean_100: -164.56, episodes: 219
28360: reward: -25.80, mean_100: -163.93, episodes: 220
28567: reward:   4.53, mean_100: -161.33, episodes: 221
28759: reward: -67.00, mean_100: -159.70, episodes: 222
28970: reward: -131.66, mean_100: -159.91, episodes: 223
29092: reward: -122.82, mean_100: -161.04, episodes: 224
29206: reward: -100.29, mean_100: -161.67, episodes: 225
29349: reward: -230.83, mean_100: -161.52, episodes: 226
29472: reward: -75.21, mean_100: -160.98, episodes: 227
29660: reward: -45.39, mean_100: -160.59, episodes: 228
29765: reward: -129.74, mean_100: -161.43, episodes: 229
29937: reward: -313.63, mean_100: -163.69, episodes: 230
30121: reward: -325.08, mean_100: -164.71, episodes: 231
30245: reward: -14.76, mean_100: -162.19, episodes: 232
30490: reward: -11.00, mean_100: -160.84, episodes: 233
30667: reward: -330.66, mean_100: -163.38, episodes: 234
30857: reward: -199.84, mean_100: -164.31, episodes: 235
31057: reward: -93.74, mean_100: -163.53, episodes: 236
31225: reward: -249.14, mean_100: -164.88, episodes: 237
31473: reward: -87.93, mean_100: -164.74, episodes: 238
31671: reward: -115.64, mean_100: -164.55, episodes: 239
31814: reward: -75.59, mean_100: -162.59, episodes: 240
32017: reward: -267.11, mean_100: -162.97, episodes: 241
32272: reward: -338.68, mean_100: -163.22, episodes: 242
32407: reward: -244.94, mean_100: -164.81, episodes: 243
32544: reward: -117.45, mean_100: -164.63, episodes: 244
32873: reward: -113.50, mean_100: -162.43, episodes: 245
33013: reward: -56.11, mean_100: -162.16, episodes: 246
33133: reward: -32.57, mean_100: -161.04, episodes: 247
33264: reward: -151.82, mean_100: -159.38, episodes: 248
33456: reward: -107.84, mean_100: -159.93, episodes: 249
33703: reward: -81.08, mean_100: -157.10, episodes: 250
33902: reward: -164.77, mean_100: -157.27, episodes: 251
34244: reward: -17.99, mean_100: -156.14, episodes: 252
35245: reward:   7.56, mean_100: -155.90, episodes: 253
35426: reward: -96.81, mean_100: -154.08, episodes: 254
35609: reward: -193.19, mean_100: -155.31, episodes: 255
35860: reward: -261.61, mean_100: -153.30, episodes: 256
36024: reward: -258.66, mean_100: -155.44, episodes: 257
36176: reward: -200.67, mean_100: -151.57, episodes: 258
37177: reward: -48.51, mean_100: -146.70, episodes: 259
37335: reward: -22.36, mean_100: -141.45, episodes: 260
37464: reward:  21.02, mean_100: -137.37, episodes: 261
37630: reward:  -8.35, mean_100: -133.87, episodes: 262
37794: reward: -214.60, mean_100: -131.42, episodes: 263
37989: reward: -23.51, mean_100: -129.72, episodes: 264
38895: reward: 216.10, mean_100: -124.92, episodes: 265
38983: reward: -214.54, mean_100: -123.40, episodes: 266
39128: reward: -49.33, mean_100: -118.28, episodes: 267
39272: reward: -71.60, mean_100: -117.82, episodes: 268
39397: reward:   9.96, mean_100: -116.10, episodes: 269
39566: reward:   4.37, mean_100: -113.15, episodes: 270
39736: reward: -93.53, mean_100: -113.30, episodes: 271
40050: reward: -64.78, mean_100: -113.18, episodes: 272
40293: reward: -38.56, mean_100: -112.90, episodes: 273
40554: reward: -86.62, mean_100: -113.06, episodes: 274
40814: reward: -94.42, mean_100: -111.76, episodes: 275
41013: reward: -11.43, mean_100: -111.04, episodes: 276
41234: reward: -117.22, mean_100: -111.44, episodes: 277
41403: reward:  -9.10, mean_100: -109.00, episodes: 278
41528: reward: -26.12, mean_100: -106.55, episodes: 279
41653: reward:  38.41, mean_100: -105.83, episodes: 280
41790: reward: -35.34, mean_100: -103.91, episodes: 281
41951: reward:  24.48, mean_100: -101.78, episodes: 282
42121: reward: -83.10, mean_100: -100.73, episodes: 283
42280: reward: -223.47, mean_100: -101.14, episodes: 284
42597: reward: -111.59, mean_100: -101.17, episodes: 285
42806: reward:   1.40, mean_100: -100.54, episodes: 286
43046: reward:  14.88, mean_100: -100.22, episodes: 287
43228: reward: -42.86, mean_100: -101.11, episodes: 288
43349: reward: -153.20, mean_100: -102.51, episodes: 289
43527: reward: -38.84, mean_100: -102.62, episodes: 290
43752: reward: -72.83, mean_100: -103.42, episodes: 291
43905: reward: -27.77, mean_100: -101.47, episodes: 292
44114: reward: -13.04, mean_100: -100.45, episodes: 293
44352: reward: -111.67, mean_100: -100.62, episodes: 294
44460: reward:  14.38, mean_100: -99.08, episodes: 295
45461: reward:  51.84, mean_100: -95.40, episodes: 296
45629: reward: -10.75, mean_100: -95.13, episodes: 297
45876: reward: -91.54, mean_100: -95.96, episodes: 298
46079: reward: -72.74, mean_100: -96.45, episodes: 299
46252: reward: -28.55, mean_100: -94.11, episodes: 300
46408: reward: -120.16, mean_100: -95.50, episodes: 301
46604: reward: -79.25, mean_100: -95.74, episodes: 302
46805: reward: -44.91, mean_100: -96.77, episodes: 303
46944: reward: -57.33, mean_100: -95.12, episodes: 304
47098: reward:  18.34, mean_100: -92.48, episodes: 305
47556: reward:   2.10, mean_100: -92.03, episodes: 306
47930: reward: -55.21, mean_100: -92.26, episodes: 307
48352: reward: -154.03, mean_100: -93.87, episodes: 308
48489: reward:  33.14, mean_100: -90.47, episodes: 309
48805: reward:  24.19, mean_100: -89.76, episodes: 310
49122: reward: -191.01, mean_100: -89.21, episodes: 311
50123: reward:  88.40, mean_100: -86.13, episodes: 312
50448: reward: -99.81, mean_100: -84.48, episodes: 313
50662: reward:  -9.79, mean_100: -82.41, episodes: 314
50805: reward: -44.93, mean_100: -82.60, episodes: 315
51154: reward:  -2.99, mean_100: -82.13, episodes: 316
51518: reward: -101.74, mean_100: -83.31, episodes: 317
51679: reward: -16.95, mean_100: -82.68, episodes: 318
51765: reward:   9.56, mean_100: -81.56, episodes: 319
52132: reward: -150.48, mean_100: -82.81, episodes: 320
52286: reward: -54.95, mean_100: -83.40, episodes: 321
52704: reward: -145.94, mean_100: -84.19, episodes: 322
52911: reward:  47.35, mean_100: -82.40, episodes: 323
53385: reward: -195.31, mean_100: -83.12, episodes: 324
53620: reward: -60.23, mean_100: -82.72, episodes: 325
53863: reward: -41.67, mean_100: -80.83, episodes: 326
54076: reward: -172.42, mean_100: -81.80, episodes: 327
54355: reward: -49.95, mean_100: -81.85, episodes: 328
54553: reward: -51.86, mean_100: -81.07, episodes: 329
54849: reward: -109.90, mean_100: -79.03, episodes: 330
55228: reward: -243.44, mean_100: -78.22, episodes: 331
55503: reward: -221.44, mean_100: -80.28, episodes: 332
55996: reward: -83.80, mean_100: -81.01, episodes: 333
56475: reward: -79.11, mean_100: -78.50, episodes: 334
57049: reward: -163.46, mean_100: -78.13, episodes: 335
58050: reward: -67.98, mean_100: -77.88, episodes: 336
59051: reward:   8.61, mean_100: -75.30, episodes: 337
59957: reward: 121.79, mean_100: -73.20, episodes: 338
60284: reward: 208.21, mean_100: -69.96, episodes: 339
60472: reward: -22.34, mean_100: -69.43, episodes: 340
60722: reward:  23.96, mean_100: -66.52, episodes: 341
61421: reward: -181.66, mean_100: -64.95, episodes: 342
61751: reward: 179.26, mean_100: -60.71, episodes: 343
62005: reward: -102.18, mean_100: -60.55, episodes: 344
62227: reward: -126.34, mean_100: -60.68, episodes: 345
62479: reward: -62.48, mean_100: -60.75, episodes: 346
62745: reward: -106.39, mean_100: -61.48, episodes: 347
63001: reward: -166.16, mean_100: -61.63, episodes: 348
63388: reward: -131.41, mean_100: -61.86, episodes: 349
63679: reward: -164.95, mean_100: -62.70, episodes: 350
64132: reward: -207.18, mean_100: -63.13, episodes: 351
64399: reward: -195.72, mean_100: -64.90, episodes: 352
65268: reward:  83.35, mean_100: -64.15, episodes: 353
65614: reward: 176.66, mean_100: -61.41, episodes: 354
65799: reward:  49.01, mean_100: -58.99, episodes: 355
66010: reward:  13.13, mean_100: -56.24, episodes: 356
66154: reward:  -0.43, mean_100: -53.66, episodes: 357
66364: reward: -44.02, mean_100: -52.09, episodes: 358
66730: reward: 226.57, mean_100: -49.34, episodes: 359
67032: reward: 220.89, mean_100: -46.91, episodes: 360
67281: reward: -10.29, mean_100: -47.22, episodes: 361
67556: reward:   1.16, mean_100: -47.13, episodes: 362
67849: reward: -48.76, mean_100: -45.47, episodes: 363
68065: reward:   8.81, mean_100: -45.15, episodes: 364
68466: reward: 219.71, mean_100: -45.11, episodes: 365
69032: reward: 122.89, mean_100: -41.73, episodes: 366
69189: reward:  27.43, mean_100: -40.97, episodes: 367
70190: reward:  46.78, mean_100: -39.78, episodes: 368
70455: reward: -57.35, mean_100: -40.46, episodes: 369
70936: reward: -203.73, mean_100: -42.54, episodes: 370
71147: reward: -65.00, mean_100: -42.25, episodes: 371
71425: reward: 268.57, mean_100: -38.92, episodes: 372
71579: reward:  51.54, mean_100: -38.02, episodes: 373
71827: reward: -37.58, mean_100: -37.53, episodes: 374
72077: reward: -46.91, mean_100: -37.05, episodes: 375
72679: reward:  80.28, mean_100: -36.14, episodes: 376
72879: reward: -15.78, mean_100: -35.12, episodes: 377
73061: reward: -13.04, mean_100: -35.16, episodes: 378
73309: reward:  25.22, mean_100: -34.65, episodes: 379
74046: reward: -176.92, mean_100: -36.80, episodes: 380
75047: reward:  -3.01, mean_100: -36.48, episodes: 381
75354: reward:  -4.51, mean_100: -36.77, episodes: 382
76118: reward: 129.91, mean_100: -34.64, episodes: 383
77119: reward: -79.65, mean_100: -33.20, episodes: 384
78013: reward: -220.96, mean_100: -34.29, episodes: 385
79014: reward: -78.85, mean_100: -35.09, episodes: 386
79570: reward: -126.98, mean_100: -36.51, episodes: 387
79883: reward: 211.16, mean_100: -33.97, episodes: 388
80486: reward: -134.13, mean_100: -33.78, episodes: 389
81052: reward: 166.90, mean_100: -31.72, episodes: 390
81487: reward: -88.28, mean_100: -31.88, episodes: 391
82488: reward:  22.07, mean_100: -31.38, episodes: 392
82741: reward:  -9.02, mean_100: -31.34, episodes: 393
82950: reward:  39.64, mean_100: -29.83, episodes: 394
83305: reward: 238.52, mean_100: -27.59, episodes: 395
84037: reward:  77.09, mean_100: -27.33, episodes: 396
84437: reward: -173.33, mean_100: -28.96, episodes: 397
85284: reward:  77.64, mean_100: -27.27, episodes: 398
85714: reward: 209.27, mean_100: -24.45, episodes: 399
86100: reward: -80.97, mean_100: -24.97, episodes: 400
86297: reward:   4.87, mean_100: -23.72, episodes: 401
87122: reward: 169.01, mean_100: -21.24, episodes: 402
87324: reward:  -9.37, mean_100: -20.88, episodes: 403
87489: reward:  40.72, mean_100: -19.90, episodes: 404
87747: reward:  -9.05, mean_100: -20.18, episodes: 405
88559: reward: -126.94, mean_100: -21.47, episodes: 406
88791: reward:  49.09, mean_100: -20.42, episodes: 407
89032: reward:  34.12, mean_100: -18.54, episodes: 408
89731: reward: 166.97, mean_100: -17.20, episodes: 409
90411: reward: 187.52, mean_100: -15.57, episodes: 410
90942: reward: 154.42, mean_100: -12.12, episodes: 411
91584: reward: 188.28, mean_100: -11.12, episodes: 412
91957: reward: -17.22, mean_100: -10.29, episodes: 413
92659: reward: -122.34, mean_100: -11.42, episodes: 414
92810: reward:  41.93, mean_100: -10.55, episodes: 415
93669: reward: -103.32, mean_100: -11.55, episodes: 416
93861: reward: -183.22, mean_100: -12.37, episodes: 417
94862: reward:  69.81, mean_100: -11.50, episodes: 418
95253: reward: 177.16, mean_100:  -9.82, episodes: 419
95373: reward:  73.00, mean_100:  -7.59, episodes: 420
96374: reward:  -5.47, mean_100:  -7.09, episodes: 421
97162: reward: 143.61, mean_100:  -4.20, episodes: 422
98163: reward: 108.41, mean_100:  -3.59, episodes: 423
99164: reward:  34.57, mean_100:  -1.29, episodes: 424
99762: reward: 143.28, mean_100:   0.75, episodes: 425
100763: reward:  63.24, mean_100:   1.79, episodes: 426
101764: reward:  69.23, mean_100:   4.21, episodes: 427
102765: reward: -47.79, mean_100:   4.23, episodes: 428
102927: reward:  60.94, mean_100:   5.36, episodes: 429
103307: reward:  -3.32, mean_100:   6.43, episodes: 430
104308: reward: -37.78, mean_100:   8.48, episodes: 431
104839: reward: -49.96, mean_100:  10.20, episodes: 432
105840: reward: -60.02, mean_100:  10.44, episodes: 433
106841: reward: -141.51, mean_100:   9.81, episodes: 434
107309: reward: -110.86, mean_100:  10.34, episodes: 435
107551: reward: -121.37, mean_100:   9.80, episodes: 436
107774: reward: -99.55, mean_100:   8.72, episodes: 437
108026: reward: -199.60, mean_100:   5.51, episodes: 438
108472: reward: -139.25, mean_100:   2.03, episodes: 439
109421: reward:  72.06, mean_100:   2.98, episodes: 440
109919: reward: -170.90, mean_100:   1.03, episodes: 441
110423: reward: -88.50, mean_100:   1.96, episodes: 442
110824: reward: -122.74, mean_100:  -1.06, episodes: 443
111439: reward: 167.46, mean_100:   1.64, episodes: 444
111766: reward: 254.98, mean_100:   5.45, episodes: 445
112178: reward: -78.69, mean_100:   5.29, episodes: 446
